番号,単　語,品詞,意　味,用　例,チェック
86,athlete,名,運動選手、アスリート,He is one of my favorite athletes.  ,
87,attack,動,攻撃する,"In this game, you can attack other people anytime.",
88,attend,動,出席する、参加する,I attended the club meeting.,
89,attention,名,注意、注目     ※pay attention to～　　～に注意を払う,"May I have your attention, please?",
90,attract,動,（注意、興味など）を引きつける,The singer's beautiful voice attracted us.,
91,audience,名,聴衆、観客,You should look at the audience when you speak.,
92,August,名,８月,"The war ended on August 15, 1945.",
93,aunt,名,おば（父母の姉妹）,I visited my aunt yesterday.,
94,Australia,名,オーストラリア,He will go to Australia this summer.,
95,Australian,名・形,オーストラリアの、オーストラリア人（の）,I have some Australian friends.,
96,autumn,名,秋,You can eat delicious fruits in autumn.,
97,average,名・形,平均（の）,The average score on the test was 65.,
98,away,副,離れて、遠くに　　　         ※far away 遠く離れて,My house is far away from here.,
99,baby,名,赤ちゃん                        ※have a baby  赤ちゃんが生まれる,My cousin will have a baby next month.,
100,back,副,後ろへ、帰って　　※be back  戻る,I will be back soon.,
101,bad,形,"悪い　　　※That's too bad. お気の毒に
【活用】 bad - worse - worst",That's bad news.,
102,badminton,名,バドミントン,I started playing badminton when I was ten years old.,
103,bag,名,かばん、袋,I need a big bag.,
104,bakery,名,パン屋,There is a good bakery next to my house.,
105,balance,名,釣り合い、バランス,The boy couldn't keep his balance on his new bicycle.  ,
106,ball,名,ボール、球,I have three balls.,
107,balloon,名,風船,Children like playing with balloons.,
108,bamboo,名,竹,This toy is made of bamboo.,
109,banana,名,バナナ,I eat a banana every morning.,
110,band,名,バンド、楽団    　※school band / brass band 吹奏楽部,I play the guitar in a band.,
111,bank,名,銀行,Go down this street and turn left at the bank.,
112,baseball,名,野球,I like playing baseball.,
113,basic,形,基本的な,Let's start with this basic question.,
114,basketball,名,バスケットボール,I am a member of the basketball club.,
115,bath,名,入浴、ふろ    ※take a bath 入浴する,Japanese people like taking a bath.,
116,bathroom,名,浴室、（主にアメリカで）トイレ,Where is the bathroom?,
117,be,動,～である、（～に）いる、ある、～になる  （be動詞の原形）,I want to be a teacher.,
118,beach,名,浜、浜辺,Let's go to the beach after lunch.,
119,bear,名,クマ,Some bears live in this mountain.,
120,beautiful,形,美しい、きれいな,Look at the beautiful flowers.,
121,beauty,名,美しさ,We enjoyed the beauty of nature in the mountains.,
122,because,接,（なぜなら）～だから　　 ※because of  ～　　～の理由で,I will not go out because I am sick.,
123,become,動,～になる　　　【活用】 become - became - become,My brother became a doctor.,
124,bed,名,ベッド、寝床　　　       　※go to bed  寝る,I go to bed at 10 p.m. every night.,
125,bedroom,名,寝室,My bedroom is on the second floor.,
126,beef,名,牛肉,Kobe beef is popular among foreign tourists.,
127,been,動,beの過去分詞　　      　※have been to　～　　～に行ったことがある,I have been to America twice.,
128,before,前・接・副,"①（前・接）～の（～が～する）前に
②（副）今まで、以前に","①I will finish my homework before dinner.
②I have never visited that place before.",
129,begin,動,始まる、始める　　    　【活用】 begin - began - begun,English class begins at 9 a.m..,
130,beginner,名,初心者,"I have just started playing soccer, so I am a beginner.",
131,beginning,名,始まり,We sing English songs at the beginning of each class.,
132,behind,前,～の後ろに（の）,Do you know the woman behind him?,
133,believe,動,信じる、～と思う,I believe I can do it.,
134,bell,名,鈴、鐘,I heard the bell and went to the door.,
135,belong,動,所属する　　※belong to ～　～の一員である,I belong to the music club.,
136,below,前・副,下の（に、を）,The temperature is below zero.,
137,belt,名,ベルト,Your belt is longer than mine.,
138,bench,名,ベンチ、長いす,We sat on the bench.  ,
139,beside,前,～のそばに,The dog likes to sit beside me.,
140,best,名・形・副,"①（形・副）最もよく（い）（good, wellの最上級） 
【活用】 good (well) - better - best
②（名）一番よいもの、最善の努力　
※do (try) one's best  全力を尽くす","①She can sing the best in her class.
②I will do my best.",
141,better,形・副,"
もっとよく（い）、もっと上手く（い）（well, goodの比較級）　
 【活用】 well (good) - better - best
","Which do you like better, chicken or beef?",
142,between,前,（２つの）間に（で）,Hyogo is between Osaka and Okayama.,
143,bicycle,名,自転車（bikeとも言う）,I go to school by bicycle.,
144,big,形,大きな、大きい　      　,I live in a big city.,
145,bike,名,自転車（bicycleの略）,I go to school by bike.,
146,bird,名,鳥,The Oriental White Stork (konotori ) is a large white bird.,
147,birthday,名,誕生日,My birthday is April 22.,
148,bitter,形,苦い,Coffee without sugar is too bitter for me.,
149,black,名・形,黒（の）,Please put your books into that black box.,
150,blackboard,名,黒板,Look at the blackboard everyone.,
151,blind,形,目の不自由な,The blind musician created a lot of great songs.,
152,block,名,かたまり、ブロック、区画,We need a block of ice to keep this food cool.,
153,blog,名,ブログ,I like to read the blog of my favorite singer.,
154,blow,動,（風が）吹く　　　　　,The wind is blowing from the west.,
155,blue,名・形,青（の）,Look at the clear blue sky.,
156,boat,名,ボート、小舟,Can you see a boat over there?,
157,body,名,体、肉体,Playing sports makes your body strong.,
158,boil,動,ゆでる、沸騰させる,Boil the egg for five minutes.,
159,bomb,名,爆弾,Many bombs were dropped on that town.,
160,book,名,本、書物,I like reading books.,
161,bookstore,名,書店,I saw him at the bookstore.,
162,border,名,国境,This line is the border between America and Canada.,
163,bored,形,退屈した,I was bored because I had nothing to do.,
164,boring,形,退屈な,The movie was boring.  ,
165,born,動,（bearの過去分詞） 生まれる　   ※be born in ～　～に生まれる,I was born in Takarazuka.,
166,borrow,動,借りる,You can borrow some books from the library.,
167,both,代・形・副,両方、両方とも　　※both A and B   AもBも両方,Both he and his brother are my friends.,
168,bottle,名,ボトル、びん,They found a big bottle on the table.,
169,bottom,名,底、最下部,Look at the picture at the bottom of the page.,
170,box,名,箱,A: Where is my camera?  B: It's in the box.,
171,boy,名,男の子、少年,The boy standing there is my brother.,
172,brass band,名,ブラスバンド、吹奏楽,I am a member of the brass band club.,
173,brave,形,勇敢な,She was brave enough to save the poor children.,
174,Brazil,名,ブラジル,The Olympics were held in Brazil in 2016.,
175,bread,名,パン,I always eat bread for breakfast.,
176,break,動・名,"
①（動）壊す   【活用】 break - broke - broken
②（名）休憩、中断
","①I broke my arm, but I am fine now.
②We have a short break now.",
177,breakfast,名,朝食,What did you have for breakfast?,
178,bridge,名,橋,You can see the Akashi Kaikyo Bridge from here.,
179,bright,形,（光が）明るい、ぴかぴか（きらきら）光る,The city was bright even at night.,
180,bring,動,（物を）持ってくる   【活用】 bring - brought - brought,I will bring my camera to the party.,
181,British,名・形,イギリスの、イギリス人（の）,They say that the British love tea.,
182,brother,名,（男の）兄弟、兄、弟,I have two brothers.,
183,brown,名・形,茶色（の）,Look at the girl with brown hair.,
184,brush,動,（ブラシで）みがく,You must brush your teeth before sleeping.,
185,build,動,～を建てる、造る　　【活用】 build - built - built,The Akashi Kaikyo Bridge was built in 1998.,
186,building,名,建物,Tokyo has more buildings than Kobe.,
187,burn,動,燃える、燃やす,Paper burns easily.,
188,bus,名,バス,I will take a bus from here.,
189,bus stop,名,バス停,You can get on the bus for Kobe at that bus stop.,
190,business,名,商売、事業,My father enjoys doing business with his friends.  ,
191,busy,形,忙しい      ※be busy with ～　　　～に忙しい,I am very busy now.,
192,but,接,しかし、でも　　　　※not A but B  　AでなくてB,"I like dogs, but my sister likes cats.",
193,butter,名,バター,He put butter on his bread.  ,
194,button,名,（衣服の、機械などの）ボタン,Press the button to move that machine.,
195,buy,動,買う   【活用】 buy - bought - bought,I am going to buy a new CD.,
196,by,前,"①（方法・手段）～によって　
②（時間）～までに　
③（場所）～のそばに","①I will go there by train.
②You must come home by six o'clock.
③My house is by the river.",
197,cafeteria,名,カフェテリア、食堂,Both students and teachers have lunch in the cafeteria.,
198,cake,名,ケーキ,I made a cake with my sister.,
199,calendar,名,カレンダー、暦,This calendar has a lot of pictures.,
200,call,動,"①呼ぶ　
②電話をかける　　　※call (～) back  電話をかけなおす","①Please call me Ken.
②I will call you tomorrow.　",
201,calligraphy,名,書道,I will show Japanese calligraphy to my American friend.,
202,camera,名,カメラ,That's a nice camera!,
203,camp,動・名,キャンプ（する）,He often camps to take pictures of wild animals.,
204,can,助・名,"①～することができる　　※Can I ～?　～してもよいですか
    Can you ～?  ～してもらえますか
②缶","①He can play basketball very well. 
②We collect paper, bottles, cans, and other things.",
205,Canada,名,カナダ,"A: Are you from Canada?  B: Yes, I am.",
206,candle,名,ろうそく,"On January 17, people light many candles in Hyogo.",
207,candy,名,キャンディ,I sometimes buy some candies for my little sister.,
208,cap,名,（ふちのない）帽子、（びんの）ふた,A: Where's my cap?  B: It's on the table.,
209,capital,名,首都,Tokyo is the capital of Japan.,
210,capital letter,名,大文字,You must start someone's name with a capital letter. ,
211,captain,名,キャプテン,He is (the) captain of our team.  ,
212,car,名,車、乗用車,I like Japanese cars. ,
213,card,名,カード,I will send a Christmas card to my grandmother.,
214,care,動・名,"世話（する）、注意（する）　
※take care of ～　～の世話をする　Take care.　気をつけて",He took care of his two sisters.,
215,career,名,職業、経歴　※career experience　職業体験学習,I want to work in a shop for career experience.,
216,careful,形,注意深い、慎重な,Be careful.,
217,carefully,副,注意深く,You have to read the questions carefully.,
218,carpenter,名,大工,Carpenters make houses.,
219,carrot,名,ニンジン,I could not eat carrots when I was small.,
220,carry,動,持っている、持ち歩く、運ぶ   【活用】 carry - carried - carried,It is very hard to carry a large box by yourself.,
221,cartoon,名,漫画　,I like drawing cartoons.,
222,cartoonist,名,漫画家,I want to be a cartoonist in the future.,
223,case,名,"①ケース、箱　
②場合","①Put your camera into that black case.
②In this case, you should think in a different way.",
224,castle,名,城,Have you visited Himeji Castle before?,
225,cat,名,ネコ,Now cats are very popular in Japan.,
226,catch,動,捕まえる   【活用】 catch - caught - caught,I must catch him to talk about the plan.,
227,cause,動・名,（動）～を引き起こす、～の原因となる　　（名）原因,Heavy rain was the cause of the terrible car accident.,
228,CD,名,compact diskの略,What a lot of CDs!,
229,celebrate,動,祝う,Let's celebrate her birthday.,
230,cellphone,名,携帯電話,Cellphones are very convenient.,
231,cent,名,セント（アメリカ・オーストラリア・カナダなどの通貨単位）,It is two dollars sixty-five cents.   ,
232,center,名,中心、真ん中、センター（施設）,I live in the center of Amagasaki city.,
233,centimeter,名,センチメートル,I am 155 centimeters (tall).,
234,century,名,世紀、１００年,He is one of the best singers in the 20th century.,
235,chain,名,くさり,I use a chain lock for my bike.,
236,chair,名,いす,Please sit on this chair.,
237,challenge,動・名,挑戦（する）,Studying in America will be a big challenge for me.,
238,champion,名,優勝者、チャンピオン,She practiced very hard to become a champion.,
239,championship,名,選手権（大会）,Our team won the championship.,
240,chance,名,機会、チャンス,I missed the chance to see him.,
241,change,動・名,"①（動）変わる、変える　　　
②（名）つり銭","①My life changed after I met him. 
②Your change is fifty yen.",
242,character,名,"①（小説・劇などの）登場人物　
②（人の）性格、（物の）特色","①There are four characters in this story.
②Every person has a different character.",
243,charge,動,充電する,I have to charge my cellphone.,
244,charity,名,慈善、チャリティー,We can send the money to a charity group.,
245,chart,名,図表,What can you learn from the chart?,
246,cheap,形,安価な、安い,The dress was cheap.  ,
247,check,動,照合する、確認する　　※check out　調べる,You should check what is in your bag again. ,
248,cheer,動,元気づける、声援する     ※cheer (～) up   ～を元気づける,The news cheered her up.,
249,cheerful,形,明るい、陽気な,My mother is very cheerful.,
250,cheerfully,副,明るく、元気よく,The teacher always talks to us cheerfully.,
251,cheese,名,チーズ,Please give me some cheese.,
252,chef,名,（熟練した）コック、料理長,He is practicing cooking every day to be a good chef.,
253,cherry blossom,名,サクラの花,The cherry blossoms at Shukugawa Park are beautiful.,
254,cherry tree,名,サクラの木,"In April, people have parties under cherry trees.",
255,chicken,名,鶏肉,Today I will use chicken to make this soup.,
256,child,名,子ども　　【複数】 children,How many children do you have?,
257,China,名,中国,You know a lot about China.,
258,Chinese,名・形,中国の、中国人（の）、中国語（の）,She speaks Chinese well. ,
259,chocolate,名,チョコレート,I like chocolate very much.,
260,choice,名,選ぶこと、選択　※make a choice　選択する、選ぶ,I learned that I could make choices in my own life. ,
261,choose,動,選ぶ　　【活用】 choose - chose - chosen,Students can choose their lunches.,
262,chopstick,名,箸,Chopsticks are used in Japan and some Asian countries. ,
263,chorus,名,合唱団（部）,I was a member of the chorus when I was a student.,
264,chorus contest,名,合唱コンクール,We are practicing hard to win the chorus contest.,
265,Christmas,名,クリスマス,Many Japanese eat cakes at Christmas.,
266,Christmas card,名,クリスマスカード,I send a Christmas card to the family every year.,
267,church,名,教会,My family goes to church every Sunday.,
268,circle,名,円,Please draw a circle in your notebook.,
269,city,名,市,London is a beautiful city.,
270,city hall,名,市役所,You should visit the city hall to get some information.,
271,class,名,授業、クラス,I like Mr. Tanaka's English class.,
272,classic,形,古典的な,This is one of the classic books.  Everyone knows the story.,
273,classmate,名,クラスメイト、級友,She is talking with her classmates.,
274,classroom,名,教室,Do you eat lunch in your classroom?,
275,clean,動・形,"①（動）掃除する　　　
②（形）きれいな","①Japanese students clean their classrooms by themselves.
②Keep your classroom clean.",
276,clear,形,晴れた、（話の内容などが）はっきりした,His face was not clear in the dark.,
277,clearly,副,はっきりと,Please speak clearly.,
278,clerk,名,店員,I'm a clerk at a hotel.,
279,clever,形,利口な,My brother is very clever.  ,
280,climate,名,気候,The world climate is changing.,
281,climb,動,登る,I want to climb Mt. Rokko.,
282,clinic,名,診療所,You don't look well.  You should go to a clinic this afternoon.,
283,clock,名,（壁に掛ける）時計,"There is a big, old clock in my house.",
284,close,動・形・副,"①（動）閉じる、閉める
②（形・副）近い（く）、接近した（して）、親しい　
※close to ～　～の近くに　","①I closed my eyes.
②We were close enough to hear each other.  ",
285,clothes,名,衣服、服,I love Japanese clothes.,
286,cloud,名,雲,There are a lot of clouds in the sky today.,
287,cloudy,形,くもりの、くもった,It's cloudy.  ,
288,club,名,クラブ、部,I don't belong to the club.,
289,club activity,名,部活動,Most students do club activities after school.,
290,coach,名,コーチ,He’s our tennis coach.,
291,coast,名,海岸,My house is near the coast.,
292,coat,名,（衣類の）コート,This coat is warm.,
293,coffee,名,コーヒー,Would you like some coffee?  ,
294,coin,名,硬貨,Look at these.  These are Australian coins.,
295,cola,名,コーラ,"I'll have a hamburger, French fries, and a cola.",
296,cold,名・形,"①（形）寒い、冷たい　　
②（名）風邪　　※have a cold  風邪をひいている","①The water is very cold.
②I have a cold.",
297,collect,動,集める、収集する,My hobby is collecting comic books.,
298,collection,名,収集,My brother has a collection of old coins.,
299,college,名,（単科）大学,She has a job at a college.,
300,color,名,色,What color do you like the best?,
301,colorful,形,色とりどりの,I was excited to see many colorful bags at the shop.,
302,come,動,"来る　　※come from ～　～出身である、～から生じる、
come back 戻る　　come in (into) 入る　　
【活用】 come - came - come",We came to Japan three months ago.,
303,comedian,名,喜劇役者、コメディアン,The comedian is funny and I always laugh.,
304,comedy,名,喜劇,I don't like sad stories.  I like comedies.,
305,comic,名・形,（comics で）漫画（の）　　※comic book 漫画本,I bought a comic book.  ,
306,comic book,名,漫画本,Japanese comic books are very popular.,
307,comment,名,意見、コメント　　※make a comment  意見を述べる,My teacher gave me some comments about my report.,
308,common,形,ふつうの、よくある   ※in common　共通の,This is one of the common mistakes students made on the exam.,
309,communicate,動,意思を伝達する、（考え、情報などを）伝える,We can communicate in English.,
310,communication,名,コミュニケーション、意思の疎通,Communication is very important.,
311,community,名,地域社会、コミュニティー,We always help each other in our community.,
312,company,名,会社,My father works at a car company.,
313,compare,動,比較する、比べる,Let's compare this car with that car.,
314,computer,名,コンピューター,I want to buy a new computer.,
315,concert,名,演奏会、コンサート,There is a wonderful concert hall in Nishinomiya.,
316,conclusion,名,結論,We talked a lot and finally came to a conclusion.,
317,condition,名,状況、状態,It's not a good idea to play baseball in such bad conditions.,
318,confident,形,自信を持った,Be confident and work hard!,
319,confused,形,混乱した,I was confused because she explained it very fast.,
320,congratulation,名,（Congratulations! で）おめでとう,You won the speech contest.  Congratulations!,
321,connect,動,つなぐ、つながる,We are connected by e-mail.,
322,connection,名,接続、つながり、関係,I want to find a connection between these two facts.,
323,contact,動,（人と）連絡を取る,You can contact me if you have any questions.,
324,content,名,内容,I like the design of the book but I don't like its content.,
325,contest,名,コンテスト、コンクール,Our chorus contest is held in September.,
326,continue,動,続ける、続く,We ate lunch and then continued our practice.,
327,control,名,制御　　　※out of control  制御しきれなくなって,The robot got out of control.,
328,convenience,名,便利、都合,It is a great convenience to live near the station.,
329,convenience store,名,コンビニエンスストア,There are many convenience stores in Japan.,
330,convenient,形,便利な、都合のいい,Low-floor buses are convenient for everyone.,
331,cook,動・名,"①（動）調理する　
②（名）料理人","①My grandmother came to my house and cooked for me.
②He is one of the best cooks in Japan.",
332,cooking,名,料理（すること）,I like cooking.,
333,cool,形,"①涼しい
②すてきな","①It's getting cooler and cooler.
②Japanese manga is cool.",
334,copy,動,まねる、写しとる,She copied her teacher's painting.,
335,corner,名,かど,Turn left at the next corner.,
336,correct,動,正す、直す,Please correct my English mistakes.,
337,cost,動,（費用などが）かかる,"It costs 10,000 yen.",
338,costume,名,（民族などの）服装、（舞台の）衣装,We wear special costumes at Halloween parties.,
339,cotton,名,木綿,A yukata is a summer cotton kimono.,
340,cough,名,せき,I have a bad cough.,
341,could,助,canの過去形　※Could you ～ ?　～してくださいませんか　（Can you ～ ? の丁寧な言い方）,"①I could not catch any fish yesterday.
②Could you tell me the way to Himeji Castle?",
342,count,動,数える,I counted the money.,
343,country,名,国,I want to go to a foreign country. ,
344,courage,名,勇気,This man had the courage to fight. ,
345,course,名,進路　　    ※of course もちろん,A: Can you teach me?  B: Of course.,
346,court,名,（テニスなどの）コート,Do you have tennis courts in your school?,
347,cousin,名,いとこ,"I have six cousins, but I have only a few chances to see them.",
348,cover,動,～を覆う,Snow covers the top of Mt. Fuji in winter. ,
349,cow,名,雌牛（特に乳牛）,My host family in Australia have many cows.,
350,crane,名,ツル,We made a thousand paper cranes for her.,
351,crash,動,衝突する,The car crashed into another car.,
352,create,動,創作する、作り出す,The writer created many great stories.,
353,creative,形,創造力のある,He is very creative.,
354,cross,動,（～を）渡る,We can cross the Akashi Kaikyo Bridge by car.,
355,crowded,形,混雑した、満員の,This train is very crowded today.,
356,cry,動,叫ぶ、泣く,Please stop crying.,
357,cucumber,名,キュウリ,Some students don't like cucumbers.,
358,culture,名,習慣、文化,I'm interested in Australian culture.,
359,cup,名,茶わん、カップ   ※a cup of ～　カップ一杯の,May I have a cup of coffee?,
360,curry,名,カレー料理　　　※curry and rice  カレーライス,Let's eat curry and rice at that shop. ,
361,custom,名,風習、習慣,Every culture has its own customs.,
362,customer,名,客、顧客,The clerks stood at the door to welcome customers. ,
363,cut,動,切る　　※cut off  切り取る　　【活用】 cut - cut - cut,I cut my finger when I was cooking.,
364,cute,形,かわいらしい、かわいい,Your dog is very cute!,
365,cycling,名,サイクリング,My hobby is cycling.,
366,dad,名,パパ、お父さん,"Come on, Dad!",
367,daily,形,毎日の、日常の,Nature has always been a part of our daily lives.,
368,damage,動,～に損害を与える,Many houses were damaged by the typhoon.,
369,dance,動・名,（動）踊る　（名）踊り,Shall we dance?,
370,dancer,名,踊る人、ダンサー,I want to be a dancer in the future.,
371,dancing,名,踊ること,My brother is good at dancing.,
372,danger ,名,危険,He told us the dangers of climbing.,
373,dangerous,形,危険な,Making fireworks is hard and dangerous.,
374,dark,形,（光がなくて）暗い,The two men began to walk along the dark street.,
375,date,名,日付、月日,What date is it today?,
376,daughter,名,娘,I saw your daughter at the station last night.,
377,day,名,"①１日、（ある特定の）日  
②昼間、日中 　 ※one day  ある日
all day (long)  １日中  the day after tomorrow  あさって
these days  最近、このごろは","①I play with kendama every day.  
②Some people work at night and sleep during the day.",
378,dead,形,死んだ,The animal doesn't move.  It looks dead.,
379,dear,形・間,"①（形）親愛なる～（手紙の書きだしに使う） 
②（間）おや、まあ","①Dear Mr. Brown
②Oh, dear!  I dropped my ice cream.",
380,death,名,死、死亡,It was difficult for me to accept my pet's death.,
381,December,名,１２月,It begins to snow in December in the Tajima area.,
382,decide,動,決心する,They decided to build a bridge.,
383,decision,名,決断,What do you think of his decision?,
384,deep,形,深い、奥の,This lake is about 50 meters deep.,
385,deeply,副,深く,We should think about the problem deeply.,
386,degree Celsius,名,摂氏　,It will be around nine degrees Celsius tonight.  ,
387,delicious,形,おいしい,Kobe beef is delicious.,
388,demonstration,名,デモ,They joined demonstrations against war.,
389,dentist,名,歯医者,I went to the dentist because I had a bad toothache.,
390,department store,名,デパート,There are two big department stores in Kobe.,
391,departure,名,出発,The departure of the flight will be late. ,
392,depend,動,～による、～次第である　 ※depend on ～　～次第だ、～による,Our plan depends on the weather.,
393,depressed,形,落胆した、元気がない,I was depressed because I didn't win the game.,
394,design,動・名,デザイン（する）、図案（を作る）、（～を）設計（する）,"A famous architect, Tadao Ando, designed this museum.",
395,designer,名,デザイナー、設計者,She is a famous designer in Japan.,
396,desk,名,机,There is a pencil on the desk. ,
397,destroy,動,破壊する、こわす,This building was destroyed in August 1945.,
398,develop,動,発展させる、発展する,Many foreigners helped to develop Kobe.,
399,developed,形,発達した　　　　※developed countries 先進国,Developed countries talked about how to stop pollution.,
400,developing,形,発展途上の　　※developing countries 発展途上国,"In developing countries, some children still cannot go to school.",
401,diary,名,日記,I keep a diary to remember what happened.,
402,dictionary,名,辞書、事典,I use some dictionaries at school.,
403,did,動・助,doの過去形  ,Did you eat breakfast?  ,
404,die,動,死ぬ,My grandfather died five years ago.,
405,difference,名,違い、違うこと,Can you find any differences between these two pictures?,
406,different,形,違った、いろいろな　　※be different from ～　～と違っている,My plan is very different from yours.,
